,mpg,cilindros,desplazamiento,caballos,peso,aceleracion,any_modelo,origen,nombre_auto
1,15.0,8,350.0,165.0,3693.0,11.5,70,1,buick skylark 320
3,16.0,8,304.0,150.0,3433.0,12.0,70,1,amc rebel sst
5,15.0,8,429.0,198.0,4341.0,10.0,70,1,ford galaxie 500
6,14.0,8,454.0,220.0,4354.0,9.0,70,1,chevrolet impala
7,14.0,8,440.0,215.0,4312.0,8.5,70,1,plymouth fury iii
8,14.0,8,455.0,225.0,4425.0,10.0,70,1,pontiac catalina
9,15.0,8,390.0,190.0,3850.0,8.5,70,1,amc ambassador dpl
11,14.0,8,340.0,160.0,3609.0,8.0,70,1,plymouth 'cuda 340
12,15.0,8,400.0,150.0,3761.0,9.5,70,1,chevrolet monte carlo
15,22.0,6,198.0,95.00,2833.0,15.5,70,1,plymouth duster
16,18.0,6,199.0,97.00,2774.0,15.5,70,1,amc hornet
17,21.0,6,200.0,85.00,2587.0,16.0,70,1,ford maverick
18,27.0,4,97.0,88.00,2130.0,14.5,70,3,datsun pl510
21,24.0,4,107.0,90.00,2430.0,14.5,70,2,audi 100 ls
22,25.0,4,104.0,95.00,2375.0,17.5,70,2,saab 99e
24,21.0,6,199.0,90.00,2648.0,15.0,70,1,amc gremlin
25,10.0,8,360.0,215.0,4615.0,14.0,70,1,ford f250
26,10.0,8,307.0,200.0,4376.0,15.0,70,1,chevy c20
27,11.0,8,318.0,210.0,4382.0,13.5,70,1,dodge d200
28,9.0,8,304.0,193.0,4732.0,18.5,70,1,hi 1200d
30,28.0,4,140.0,90.00,2264.0,15.5,71,1,chevrolet vega 2300
32,25.0,4,98.0,?,2046.0,19.0,71,1,ford pinto
34,16.0,6,225.0,105.0,3439.0,15.5,71,1,plymouth satellite custom
36,19.0,6,250.0,88.00,3302.0,15.5,71,1,ford torino 500
37,18.0,6,232.0,100.0,3288.0,15.5,71,1,amc matador
38,14.0,8,350.0,165.0,4209.0,12.0,71,1,chevrolet impala
39,14.0,8,400.0,175.0,4464.0,11.5,71,1,pontiac catalina brougham
40,14.0,8,351.0,153.0,4154.0,13.5,71,1,ford galaxie 500
43,13.0,8,400.0,170.0,4746.0,12.0,71,1,ford country squire (sw)
44,13.0,8,400.0,175.0,5140.0,12.0,71,1,pontiac safari (sw)
46,22.0,4,140.0,72.00,2408.0,19.0,71,1,chevrolet vega (sw)
47,19.0,6,250.0,100.0,3282.0,15.0,71,1,pontiac firebird
49,23.0,4,122.0,86.00,2220.0,14.0,71,1,mercury capri 2000
50,28.0,4,116.0,90.00,2123.0,14.0,71,2,opel 1900
52,30.0,4,88.0,76.00,2065.0,14.5,71,2,fiat 124b
53,31.0,4,71.0,65.00,1773.0,19.0,71,3,toyota corolla 1200
54,35.0,4,72.0,69.00,1613.0,18.0,71,3,datsun 1200
57,24.0,4,113.0,95.00,2278.0,15.5,72,3,toyota corona hardtop
58,25.0,4,97.5,80.00,2126.0,17.0,72,1,dodge colt hardtop
59,23.0,4,97.0,54.00,2254.0,23.5,72,2,volkswagen type 3
60,20.0,4,140.0,90.00,2408.0,19.5,72,1,chevrolet vega
61,21.0,4,122.0,86.00,2226.0,16.5,72,1,ford pinto runabout
62,13.0,8,350.0,165.0,4274.0,12.0,72,1,chevrolet impala
64,15.0,8,318.0,150.0,4135.0,13.5,72,1,plymouth fury iii
65,14.0,8,351.0,153.0,4129.0,13.0,72,1,ford galaxie 500
66,17.0,8,304.0,150.0,3672.0,11.5,72,1,amc ambassador sst
67,11.0,8,429.0,208.0,4633.0,11.0,72,1,mercury marquis
68,13.0,8,350.0,155.0,4502.0,13.5,72,1,buick lesabre custom
69,12.0,8,350.0,160.0,4456.0,13.5,72,1,oldsmobile delta 88 royale
70,13.0,8,400.0,190.0,4422.0,12.5,72,1,chrysler newport royal
74,13.0,8,302.0,140.0,4294.0,16.0,72,1,ford gran torino (sw)
75,14.0,8,318.0,150.0,4077.0,14.0,72,1,plymouth satellite custom (sw)
76,18.0,4,121.0,112.0,2933.0,14.5,72,2,volvo 145e (sw)
77,22.0,4,121.0,76.00,2511.0,18.0,72,2,volkswagen 411 (sw)
78,21.0,4,120.0,87.00,2979.0,19.5,72,2,peugeot 504 (sw)
80,22.0,4,122.0,86.00,2395.0,16.0,72,1,ford pinto (sw)
81,28.0,4,97.0,92.00,2288.0,17.0,72,3,datsun 510 (sw)
82,23.0,4,120.0,97.00,2506.0,14.5,72,3,toyouta corona mark ii (sw)
83,28.0,4,98.0,80.00,2164.0,15.0,72,1,dodge colt (sw)
86,14.0,8,304.0,150.0,3672.0,11.5,73,1,amc matador
87,13.0,8,350.0,145.0,3988.0,13.0,73,1,chevrolet malibu
91,13.0,8,400.0,150.0,4464.0,12.0,73,1,chevrolet caprice classic
93,14.0,8,318.0,150.0,4237.0,14.5,73,1,plymouth fury gran sedan
94,13.0,8,440.0,215.0,4735.0,11.0,73,1,chrysler new yorker brougham
95,12.0,8,455.0,225.0,4951.0,11.0,73,1,buick electra 225 custom
97,18.0,6,225.0,105.0,3121.0,16.5,73,1,plymouth valiant
98,16.0,6,250.0,100.0,3278.0,18.0,73,1,chevrolet nova custom
99,18.0,6,232.0,100.0,2945.0,16.0,73,1,amc hornet
100,18.0,6,250.0,88.00,3021.0,16.5,73,1,ford maverick
102,26.0,4,97.0,46.00,1950.0,21.0,73,2,volkswagen super beetle
103,11.0,8,400.0,150.0,4997.0,14.0,73,1,chevrolet impala
104,12.0,8,400.0,167.0,4906.0,12.5,73,1,ford country
105,13.0,8,360.0,170.0,4654.0,13.0,73,1,plymouth custom suburb
106,12.0,8,350.0,180.0,4499.0,12.5,73,1,oldsmobile vista cruiser
107,18.0,6,232.0,100.0,2789.0,15.0,73,1,amc gremlin
108,20.0,4,97.0,88.00,2279.0,19.0,73,3,toyota carina
111,18.0,3,70.0,90.00,2124.0,13.5,73,3,maxda rx3
114,26.0,4,98.0,90.00,2265.0,15.5,73,2,fiat 124 sport coupe
115,15.0,8,350.0,145.0,4082.0,13.0,73,1,chevrolet monte carlo s
116,16.0,8,400.0,230.0,4278.0,9.5,73,1,pontiac grand prix
119,20.0,4,114.0,91.00,2582.0,14.0,73,2,audi 100ls
120,19.0,4,121.0,112.0,2868.0,15.5,73,2,volvo 144ea
121,15.0,8,318.0,150.0,3399.0,11.0,73,1,dodge dart custom
123,20.0,6,156.0,122.0,2807.0,13.5,73,3,toyota mark ii
126,21.0,6,200.0,?,2875.0,17.0,74,1,ford maverick
127,19.0,6,232.0,100.0,2901.0,16.0,74,1,amc hornet
128,15.0,6,250.0,100.0,3336.0,17.0,74,1,chevrolet nova
129,31.0,4,79.0,67.00,1950.0,19.0,74,3,datsun b210
130,26.0,4,122.0,80.00,2451.0,16.5,74,1,ford pinto
131,32.0,4,71.0,65.00,1836.0,21.0,74,3,toyota corolla 1200
132,25.0,4,140.0,75.00,2542.0,17.0,74,1,chevrolet vega
133,16.0,6,250.0,100.0,3781.0,17.0,74,1,chevrolet chevelle malibu classic
134,16.0,6,258.0,110.0,3632.0,18.0,74,1,amc matador
135,18.0,6,225.0,105.0,3613.0,16.5,74,1,plymouth satellite sebring
138,14.0,8,318.0,150.0,4457.0,13.5,74,1,dodge coronet custom (sw)
139,14.0,8,302.0,140.0,4638.0,16.0,74,1,ford gran torino (sw)
142,26.0,4,79.0,67.00,1963.0,15.5,74,2,volkswagen dasher
143,26.0,4,97.0,78.00,2300.0,14.5,74,2,opel manta
146,28.0,4,90.0,75.00,2125.0,14.5,74,1,dodge colt
147,24.0,4,90.0,75.00,2108.0,15.5,74,2,fiat 128
148,26.0,4,116.0,75.00,2246.0,14.0,74,2,fiat 124 tc
150,26.0,4,108.0,93.00,2391.0,15.5,74,3,subaru
151,31.0,4,79.0,67.00,2000.0,16.0,74,2,fiat x1.9
153,18.0,6,250.0,105.0,3459.0,16.0,75,1,chevrolet nova
154,15.0,6,250.0,72.00,3432.0,21.0,75,1,mercury monarch
156,16.0,8,400.0,170.0,4668.0,11.5,75,1,pontiac catalina
158,16.0,8,318.0,150.0,4498.0,14.5,75,1,plymouth grand fury
159,14.0,8,351.0,148.0,4657.0,13.5,75,1,ford ltd
160,17.0,6,231.0,110.0,3907.0,21.0,75,1,buick century
161,16.0,6,250.0,105.0,3897.0,18.5,75,1,chevroelt chevelle malibu
162,15.0,6,258.0,110.0,3730.0,19.0,75,1,amc matador
164,21.0,6,231.0,110.0,3039.0,15.0,75,1,buick skyhawk
165,20.0,8,262.0,110.0,3221.0,13.5,75,1,chevrolet monza 2+2
166,13.0,8,302.0,129.0,3169.0,12.0,75,1,ford mustang ii
167,29.0,4,97.0,75.00,2171.0,16.0,75,3,toyota corolla
168,23.0,4,140.0,83.00,2639.0,17.0,75,1,ford pinto
170,23.0,4,140.0,78.00,2592.0,18.5,75,1,pontiac astro
172,25.0,4,90.0,71.00,2223.0,16.5,75,2,volkswagen dasher
173,24.0,4,119.0,97.00,2545.0,17.0,75,3,datsun 710
176,19.0,6,232.0,90.00,3211.0,17.0,75,1,amc pacer
177,23.0,4,115.0,95.00,2694.0,15.0,75,2,audi 100ls
178,23.0,4,120.0,88.00,2957.0,17.0,75,2,peugeot 504
179,22.0,4,121.0,98.00,2945.0,14.5,75,2,volvo 244dl
180,25.0,4,121.0,115.0,2671.0,13.5,75,2,saab 99le
182,28.0,4,107.0,86.00,2464.0,15.5,76,2,fiat 131
183,25.0,4,116.0,81.00,2220.0,16.9,76,2,opel 1900
184,25.0,4,140.0,92.00,2572.0,14.9,76,1,capri ii
185,26.0,4,98.0,79.00,2255.0,17.7,76,1,dodge colt
186,27.0,4,101.0,83.00,2202.0,15.3,76,2,renault 12tl
187,17.5,8,305.0,140.0,4215.0,13.0,76,1,chevrolet chevelle malibu classic
192,22.0,6,250.0,105.0,3353.0,14.5,76,1,chevrolet nova
193,24.0,6,200.0,81.00,3012.0,17.6,76,1,ford maverick
194,22.5,6,232.0,90.00,3085.0,17.6,76,1,amc hornet
195,29.0,4,85.0,52.00,2035.0,22.2,76,1,chevrolet chevette
196,24.5,4,98.0,60.00,2164.0,22.1,76,1,chevrolet woody
197,29.0,4,90.0,70.00,1937.0,14.2,76,2,vw rabbit
199,20.0,6,225.0,100.0,3651.0,17.7,76,1,dodge aspen se
200,18.0,6,250.0,78.00,3574.0,21.0,76,1,ford granada ghia
203,29.5,4,97.0,71.00,1825.0,12.2,76,2,volkswagen rabbit
204,32.0,4,85.0,70.00,1990.0,17.0,76,3,datsun b-210
205,28.0,4,97.0,75.00,2155.0,16.4,76,3,toyota corolla
206,26.5,4,140.0,72.00,2565.0,13.6,76,1,ford pinto
207,20.0,4,130.0,102.0,3150.0,15.7,76,2,volvo 245
208,13.0,8,318.0,150.0,3940.0,13.2,76,1,plymouth volare premier v8
209,19.0,4,120.0,88.00,3270.0,21.9,76,2,peugeot 504
211,16.5,6,168.0,120.0,3820.0,16.7,76,2,mercedes-benz 280s
212,16.5,8,350.0,180.0,4380.0,12.1,76,1,cadillac seville
213,13.0,8,350.0,145.0,4055.0,12.0,76,1,chevy c10
215,13.0,8,318.0,150.0,3755.0,14.0,76,1,dodge d100
216,31.5,4,98.0,68.00,2045.0,18.5,77,3,honda accord cvcc
218,36.0,4,79.0,58.00,1825.0,18.6,77,2,renault 5 gtl
219,25.5,4,122.0,96.00,2300.0,15.5,77,1,plymouth arrow gs
220,33.5,4,85.0,70.00,1945.0,16.8,77,3,datsun f-10 hatchback
221,17.5,8,305.0,145.0,3880.0,12.5,77,1,chevrolet caprice classic
223,15.5,8,318.0,145.0,4140.0,13.7,77,1,dodge monaco brougham
225,17.5,6,250.0,110.0,3520.0,16.4,77,1,chevrolet concours
227,19.0,6,225.0,100.0,3630.0,17.7,77,1,plymouth volare custom
228,18.5,6,250.0,98.00,3525.0,19.0,77,1,ford granada
229,16.0,8,400.0,180.0,4220.0,11.1,77,1,pontiac grand prix lj
230,15.5,8,350.0,170.0,4165.0,11.4,77,1,chevrolet monte carlo landau
232,16.0,8,351.0,149.0,4335.0,14.5,77,1,ford thunderbird
233,29.0,4,97.0,78.00,1940.0,14.5,77,2,volkswagen rabbit custom
234,24.5,4,151.0,88.00,2740.0,16.0,77,1,pontiac sunbird coupe
237,30.5,4,98.0,63.00,2051.0,17.0,77,1,chevrolet chevette
238,33.5,4,98.0,83.00,2075.0,15.9,77,1,dodge colt m/m
239,30.0,4,97.0,67.00,1985.0,16.4,77,3,subaru dl
240,30.5,4,97.0,78.00,2190.0,14.1,77,2,volkswagen dasher
241,22.0,6,146.0,97.00,2815.0,14.5,77,3,datsun 810
242,21.5,4,121.0,110.0,2600.0,12.8,77,2,bmw 320i
245,36.1,4,98.0,66.00,1800.0,14.4,78,1,ford fiesta
246,32.8,4,78.0,52.00,1985.0,19.4,78,3,mazda glc deluxe
247,39.4,4,85.0,70.00,2070.0,18.6,78,3,datsun b210 gx
252,19.2,6,231.0,105.0,3535.0,19.2,78,1,pontiac phoenix lj
253,20.5,6,200.0,95.00,3155.0,18.2,78,1,chevrolet malibu
255,25.1,4,140.0,88.00,2720.0,15.4,78,1,ford fairmont (man)
257,19.4,6,232.0,90.00,3210.0,17.2,78,1,amc concord
258,20.6,6,231.0,105.0,3380.0,15.8,78,1,buick century special
260,18.6,6,225.0,110.0,3620.0,18.7,78,1,dodge aspen
261,18.1,6,258.0,120.0,3410.0,15.1,78,1,amc concord d/l
262,19.2,8,305.0,145.0,3425.0,13.2,78,1,chevrolet monte carlo landau
263,17.7,6,231.0,165.0,3445.0,13.4,78,1,buick regal sport coupe (turbo)
264,18.1,8,302.0,139.0,3205.0,11.2,78,1,ford futura
266,30.0,4,98.0,68.00,2155.0,16.5,78,1,chevrolet chevette
267,27.5,4,134.0,95.00,2560.0,14.2,78,3,toyota corona
268,27.2,4,119.0,97.00,2300.0,14.7,78,3,datsun 510
270,21.1,4,134.0,95.00,2515.0,14.8,78,3,toyota celica gt liftback
271,23.2,4,156.0,105.0,2745.0,16.7,78,1,plymouth sapporo
273,23.9,4,119.0,97.00,2405.0,14.9,78,3,datsun 200-sx
274,20.3,5,131.0,103.0,2830.0,15.9,78,2,audi 5000
275,17.0,6,163.0,125.0,3140.0,13.6,78,2,volvo 264gl
276,21.6,4,121.0,115.0,2795.0,15.7,78,2,saab 99gle
277,16.2,6,163.0,133.0,3410.0,15.8,78,2,peugeot 604sl
278,31.5,4,89.0,71.00,1990.0,14.9,78,2,volkswagen scirocco
280,21.5,6,231.0,115.0,3245.0,15.4,79,1,pontiac lemans v6
281,19.8,6,200.0,85.00,2990.0,18.2,79,1,mercury zephyr 6
283,20.2,6,232.0,90.00,3265.0,18.2,79,1,amc concord dl 6
284,20.6,6,225.0,110.0,3360.0,16.6,79,1,dodge aspen 6
285,17.0,8,305.0,130.0,3840.0,15.4,79,1,chevrolet caprice classic
286,17.6,8,302.0,129.0,3725.0,13.4,79,1,ford ltd landau
287,16.5,8,351.0,138.0,3955.0,13.2,79,1,mercury grand marquis
288,18.2,8,318.0,135.0,3830.0,15.2,79,1,dodge st. regis
289,16.9,8,350.0,155.0,4360.0,14.9,79,1,buick estate wagon (sw)
290,15.5,8,351.0,142.0,4054.0,14.3,79,1,ford country squire (sw)
291,19.2,8,267.0,125.0,3605.0,15.0,79,1,chevrolet malibu classic (sw)
292,18.5,8,360.0,150.0,3940.0,13.0,79,1,chrysler lebaron town @ country (sw)
293,31.9,4,89.0,71.00,1925.0,14.0,79,2,vw rabbit custom
294,34.1,4,86.0,65.00,1975.0,15.2,79,3,maxda glc deluxe
295,35.7,4,98.0,80.00,1915.0,14.4,79,1,dodge colt hatchback custom
296,27.4,4,121.0,80.00,2670.0,15.0,79,1,amc spirit dl
297,25.4,5,183.0,77.00,3530.0,20.1,79,2,mercedes benz 300d
299,27.2,4,141.0,71.00,3190.0,24.8,79,2,peugeot 504
300,23.9,8,260.0,90.00,3420.0,22.2,79,1,oldsmobile cutlass salon brougham
301,34.2,4,105.0,70.00,2200.0,13.2,79,1,plymouth horizon
304,37.3,4,91.0,69.00,2130.0,14.7,79,2,fiat strada custom
305,28.4,4,151.0,90.00,2670.0,16.0,79,1,buick skylark limited
306,28.8,6,173.0,115.0,2595.0,11.3,79,1,chevrolet citation
307,26.8,6,173.0,115.0,2700.0,12.9,79,1,oldsmobile omega brougham
308,33.5,4,151.0,90.00,2556.0,13.2,79,1,pontiac phoenix
309,41.5,4,98.0,76.00,2144.0,14.7,80,2,vw rabbit
310,38.1,4,89.0,60.00,1968.0,18.8,80,3,toyota corolla tercel
311,32.1,4,98.0,70.00,2120.0,15.5,80,1,chevrolet chevette
312,37.2,4,86.0,65.00,2019.0,16.4,80,3,datsun 310
314,26.4,4,140.0,88.00,2870.0,18.1,80,1,ford fairmont
315,24.3,4,151.0,90.00,3003.0,20.1,80,1,amc concord
316,19.1,6,225.0,90.00,3381.0,18.7,80,1,dodge aspen
317,34.3,4,97.0,78.00,2188.0,15.8,80,2,audi 4000
318,29.8,4,134.0,90.00,2711.0,15.5,80,3,toyota corona liftback
319,31.3,4,120.0,75.00,2542.0,17.5,80,3,mazda 626
321,32.2,4,108.0,75.00,2265.0,15.2,80,3,toyota corolla
322,46.6,4,86.0,65.00,2110.0,17.9,80,3,mazda glc
323,27.9,4,156.0,105.0,2800.0,14.4,80,1,dodge colt
326,43.4,4,90.0,48.00,2335.0,23.7,80,2,vw dasher (diesel)
328,30.0,4,146.0,67.00,3250.0,21.8,80,2,mercedes-benz 240d
329,44.6,4,91.0,67.00,1850.0,13.8,80,3,honda civic 1500 gl
331,33.8,4,97.0,67.00,2145.0,18.0,80,3,subaru dl
332,29.8,4,89.0,62.00,1845.0,15.3,80,2,vokswagen rabbit
333,32.7,6,168.0,132.0,2910.0,11.4,80,3,datsun 280-zx
334,23.7,3,70.0,100.0,2420.0,12.5,80,3,mazda rx-7 gs
335,35.0,4,122.0,88.00,2500.0,15.1,80,2,triumph tr7 coupe
336,23.6,4,140.0,?,2905.0,14.3,80,1,ford mustang cobra
337,32.4,4,107.0,72.00,2290.0,17.0,80,3,honda accord
338,27.2,4,135.0,84.00,2490.0,15.7,81,1,plymouth reliant
339,26.6,4,151.0,84.00,2635.0,16.4,81,1,buick skylark
342,30.0,4,135.0,84.00,2385.0,12.9,81,1,plymouth reliant
344,39.0,4,86.0,64.00,1875.0,16.4,81,1,plymouth champ
345,35.1,4,81.0,60.00,1760.0,16.1,81,3,honda civic 1300
346,32.3,4,97.0,67.00,2065.0,17.8,81,3,subaru
347,37.0,4,85.0,65.00,1975.0,19.4,81,3,datsun 210 mpg
348,37.7,4,89.0,62.00,2050.0,17.3,81,3,toyota tercel
349,34.1,4,91.0,68.00,1985.0,16.0,81,3,mazda glc 4
350,34.7,4,105.0,63.00,2215.0,14.9,81,1,plymouth horizon 4
351,34.4,4,98.0,65.00,2045.0,16.2,81,1,ford escort 4w
352,29.9,4,98.0,65.00,2380.0,20.7,81,1,ford escort 2h
353,33.0,4,105.0,74.00,2190.0,14.2,81,2,volkswagen jetta
356,32.4,4,108.0,75.00,2350.0,16.8,81,3,toyota corolla
359,28.1,4,141.0,80.00,3230.0,20.4,81,2,peugeot 505s turbo diesel
363,22.4,6,231.0,110.0,3415.0,15.8,81,1,buick century
364,26.6,8,350.0,105.0,3725.0,19.0,81,1,oldsmobile cutlass ls
365,20.2,6,200.0,88.00,3060.0,17.1,81,1,ford granada gl
366,17.6,6,225.0,85.00,3465.0,16.6,81,1,chrysler lebaron salon
368,27.0,4,112.0,88.00,2640.0,18.6,82,1,chevrolet cavalier wagon
369,34.0,4,112.0,88.00,2395.0,18.0,82,1,chevrolet cavalier 2-door
372,27.0,4,151.0,90.00,2735.0,18.0,82,1,pontiac phoenix
373,24.0,4,140.0,92.00,2865.0,16.4,82,1,ford fairmont futura
375,36.0,4,105.0,74.00,1980.0,15.3,82,2,volkswagen rabbit l
376,37.0,4,91.0,68.00,2025.0,18.2,82,3,mazda glc custom l
377,31.0,4,91.0,68.00,1970.0,17.6,82,3,mazda glc custom
382,34.0,4,108.0,70.00,2245.0,16.9,82,3,toyota corolla
383,38.0,4,91.0,67.00,1965.0,15.0,82,3,honda civic
384,32.0,4,91.0,67.00,1965.0,15.7,82,3,honda civic (auto)
386,25.0,6,181.0,110.0,2945.0,16.4,82,1,buick century limited
387,38.0,6,262.0,85.00,3015.0,17.0,82,1,oldsmobile cutlass ciera (diesel)
388,26.0,4,156.0,92.00,2585.0,14.5,82,1,chrysler lebaron medallion
392,27.0,4,151.0,90.00,2950.0,17.3,82,1,chevrolet camaro
393,27.0,4,140.0,86.00,2790.0,15.6,82,1,ford mustang gl
394,44.0,4,97.0,52.00,2130.0,24.6,82,2,vw pickup
395,32.0,4,135.0,84.00,2295.0,11.6,82,1,dodge rampage
396,28.0,4,120.0,79.00,2625.0,18.6,82,1,ford ranger
397,31.0,4,119.0,82.00,2720.0,19.4,82,1,chevy s-10
